Internship Id,Role,Company Name,Location,Duration,Stipend,Intern Type,Skills,Perks,Hiring Since,Opportunity Date,Opening,Hired Candidate,Number of Applications,Website Link,Stipend Amount,Has Skills,Has Perks,Stipend Specified,City,Country,Posting Date,Posting Month,Posting Year,Days Since Posted,Number of Skills,Number of Perks,Duration Category_Long-term (5-6 months),Duration Category_Medium-term (3-4 months),Duration Category_Short-term (1-2 months),Stipend Currency_GBP,Stipend Currency_INR,Stipend Currency_Performance-based,Stipend Currency_USD,Stipend Currency_Unknown,Stipend Currency_Unpaid,Stipend Currency_Unspecified
2458337,Business Development (Sales) Internship,Max Vision Solutions,"('Delhi', 'Delhi', 'Delhi', 'Delhi')",6,"₹ 10,000-15,000 /month","['Internship', 'Internship with job offer']","['Effective Communication', 'Email Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'LinkedIn Marketing', 'MS-Excel', 'Negotiation & Problem-solving']","['Certificate', 'Informal dress code', '5 days a week']",Hiring since November 2022,27 opportunities posted,2,,0.0,https://www.maxvisionsolutions.com/,10000.0,True,True,True,('Delhi','Delhi'),,,,,7,3,True,False,False,False,True,False,False,False,False,False
2458333,Graphic Design Internship (Remote),Raghav Gupta,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",6,"₹ 5,000 /month",['Internship'],"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Photoshop Lightroom CC']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since January 2024,2 opportunities posted,1,,0.0,,5000.0,True,True,True,('Work from home','Work from home'),,,,,3,3,True,False,False,False,True,False,False,False,False,False
2458328,Digital Marketing Internship,Kweesha,"('Lucknow', 'Chennai, Delhi, Ghaziabad, Gurgaon, Indore, Lucknow, Patna, Pune, Udaipur, Bangalore, Hyderabad, Bhopal, Mumbai, Noida, Gwalior West', 'Lucknow', 'Lucknow')",3,"₹ 2,000-9,000 /month",['Internship'],"['Adobe Creative Suite', 'Adobe Photoshop', 'American English', 'Content Marketing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)']","['Certificate', 'Letter of recommendation', '5 days a week', 'Free snacks & beverages']",Hiring since September 2023,9 opportunities posted,3,8 candidates hired,0.0,https://www.kweesha.com/,2000.0,True,True,True,('Lucknow','Lucknow'),,,,,7,4,False,True,False,False,True,False,False,False,False,False
2458327,Video Editing/Making Internship (Part time/Remote),Travel Lykke Private Limited,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",3,"₹ 5,000-12,000 /month","['Internship', 'Internship with job offer']","['Adobe Premiere Pro', 'Video Editing']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since March 2023,14 opportunities posted,4,19 candidates hired,0.0,http://lykke.travel,5000.0,True,True,True,('Work from home','Work from home'),,,,,2,3,False,True,False,False,True,False,False,False,False,False
2454231,Brand Management Internship (Part time),Girija Krishan Varma,"('Delhi', 'Delhi, Noida', 'Delhi, Bangalore, Mumbai', 'Delhi, Pune, Bangalore, Mumbai, Nagpur')",6,"₹ 6,000-8,000 /month","['Internship', 'Internship with job offer']","['American English', 'Effective Communication', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Flexible work hours']",Hiring since April 2024,1 opportunity posted,1,,0.0,https://www.linkedin.com/in/girijakrishanvarma/,6000.0,True,True,True,('Delhi',Nagpur'),,,,,3,3,True,False,False,False,True,False,False,False,False,False
2458323,Graphic Design Internship,GreyToYellow,"('Gurgaon', 'Delhi, Gurgaon, Noida', 'Gurgaon', 'Gurgaon')",3,"₹ 5,000 /month","['Internship with job offer', 'Internship with job offer']","['Adobe After Effects', 'Adobe Illustrator', 'Adobe Photoshop', 'Canva', 'CorelDRAW']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', '5 days a week', 'Job offer']",Hiring since January 2024,4 opportunities posted,2,1 candidate hired,0.0,http://greytoyellow.com,5000.0,True,True,True,('Gurgaon','Gurgaon'),,,,,5,6,False,True,False,False,True,False,False,False,False,False
2457682,Video Editing/Making Internship,Assessli,"('Kolkata', 'Ahmedabad, Chennai, Delhi, Indore, Kolkata, Pune, Surat, Bangalore, Hyderabad, Bhopal, Mumbai, Jaipur')",3,"₹ 3,000 /month +  Incentives",['Internship with job offer'],"['Adobe Illustrator', 'Adobe Photoshop', 'Adobe Premiere Pro', 'Final Cut Pro', 'Video Editing', 'Video Making']","['Certificate', 'Letter of recommendation', 'Flexible work hours', 'Informal dress code', 'Free snacks & beverages', 'Job offer']",Hiring since April 2024,1 opportunity posted,3,,0.0,http://oneoath.in,3000.0,True,True,True,('Kolkata',Jaipur'),,,,,6,6,False,True,False,False,True,False,False,False,False,False
2458311,Social Media Marketing Internship (Remote),Wolf Bread,"('Work from home', 'Work from home', 'Work from home', 'Work from home')",6,"₹ 5,000 /month",['Internship with job offer'],"['Creative Writing', 'Digital Marketing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Facebook Marketing', 'Instagram Marketing', 'Social Media Marketing']","['Certificate', 'Letter of recommendation', 'Job offer']",Hiring since May 2023,3 opportunities posted,1,1 candidate hired,0.0,,5000.0,True,True,True,('Work from home','Work from home'),,,,,7,3,True,False,False,False,True,False,False,False,False,False
2458310,Graphic Design Internship,Webingo Infotech Solutions LLP,"('Kolkata', 'Kolkata', 'Kolkata', 'Kolkata')",6,"₹ 3,000 /month",['Internship with job offer'],"['Adobe After Effects', 'Adobe Illustrator', 'Adobe Indesign', 'Adobe Photoshop', 'Adobe Premiere Pro', 'CorelDRAW', 'Video Editing']","['Certificate', 'Letter of recommendation', 'Job offer']",Hiring since April 2023,7 opportunities posted,2,,0.0,http://www.webingo.in,3000.0,True,True,True,('Kolkata','Kolkata'),,,,,7,3,True,False,False,False,True,False,False,False,False,False
2458307,Law/Legal Internship,Paarth Chanchlani,"('Pune',)",3,"₹ 3,000 /month",['Internship'],"['English Proficiency (Spoken)', 'English Proficiency (Written)', 'MS-Word']","['Certificate', 'Letter of recommendation', '5 days a week', 'Free snacks & beverages']",Hiring since July 2022,21 opportunities posted,3,30 candidates hired,0.0,,3000.0,True,True,True,('Pune',),,,,,3,4,False,True,False,False,True,False,False,False,False,False
